school,n_block_groups,total_pop,Particulate Matter Summary Index_pct_usa,Ozone Summary Index_pct_usa,Diesel Particulate Matter Summary Index_pct_usa,Nitrogen Dioxide (NO2) Summary Index_pct_usa,Toxic Releases to Air Summary Index_pct_usa,Traffic Proximity and Volume Summary Index_pct_usa,Lead Paint Summary Index_pct_usa,Superfund Proximity Summary Index_pct_usa,RMP Proximity Summary Index_pct_usa,Hazardous Waste Proximity Summary Index_pct_usa,Underground Storage Tanks Summary Index_pct_usa,Wastewater Discharge Summary Index_pct_usa,Drinking Water Non-Compliance Summary Index_pct_usa,Particulate Matter Summary Index_pct_state,Ozone Summary Index_pct_state,Diesel Particulate Matter Summary Index_pct_state,Nitrogen Dioxide (NO2) Summary Index_pct_state,Toxic Releases to Air Summary Index_pct_state,Traffic Proximity and Volume Summary Index_pct_state,Lead Paint Summary Index_pct_state,Superfund Proximity Summary Index_pct_state,RMP Proximity Summary Index_pct_state,Hazardous Waste Proximity Summary Index_pct_state,Underground Storage Tanks Summary Index_pct_state,Wastewater Discharge Summary Index_pct_state,Drinking Water Non-Compliance Summary Index_pct_state,Location,year_founded
Alabama A&M University,8,16720,36.29898325358852,17.31321770334928,32.72165071770335,37.817583732057415,99,52.47733253588517,33.942882775119614,38.63247607655502,0,64.7546052631579,59.25275119617225,47.86088516746411,76.54683014354067,50.466985645933015,24.408014354066985,48.20376794258373,52.848744019138756,90.75191387559809,67.80633971291866,47.02583732057416,53.505083732057415,0,76.50514354066986,70.6357057416268,62.817882775119614,87.88313397129187,"Normal, AL",1875
Alabama State University,20,19594,79.9171685209758,4,66.3933857303256,63.45274063488823,50.59048688373992,76.7488006532612,80.624272736552,63.15581300398081,73.00714504440134,34.801112585485356,70.05124017556395,55.09559048688374,0,87.34684086965397,5.995559865264877,81.29320200061244,77.57063386751047,71.14749413085639,85.5899254873941,85.42079207920793,82.76329488618966,83.07982035316934,55.95360824742268,78.59160967643156,73.97050117382872,0,"Montgomery, AL",1867
Albany State University,15,11921,81.75933227078265,21.965774683331937,33.07960741548528,55.84850264239577,10.3324385538126,41.8667058132707,69.03716131197048,84.01065346866874,80.2531666806476,37.469507591645,74.9854877946481,33.35785588457344,88,93.89338142773258,42.80563711098062,60.46917204932472,80.33680060397617,20.804043284959317,72.15300729804547,84.32027514470262,94.23043368844895,91.54466907138662,67.21978021978022,89.90948745910578,60.42311886586696,95.87459105779716,"Albany, GA",1903
Alcorn State University,3,3066,37.18623613829093,4.162752772341814,3.4810828440965427,1.356164383561644,2.9621656881930853,5.499673842139596,15.96183953033268,0,0,0,31.79941291585127,18.935746901500327,96.54240052185257,44.81082844096543,4.8065883887801695,3.4810828440965427,1.356164383561644,3.443248532289628,6.461839530332681,20.787018917155905,0,0,0,40.78016960208741,24.109915198956294,90.21200260926288,"Lorman, MS",1871
Allen University,21,24502,40.87727532446331,7.887274508203412,75.75214268223002,73.28148722553262,72.58048322585911,69.21900253040567,68.87813239735532,40.863398906211735,86.1206023998041,55.85752183495225,87.37666312954045,63.29238429515958,0,53.71626805975023,10.182393274018448,80.79091502734471,77.99334748183821,79.06387233695209,77.67843441351727,73.16982287160232,43.43690310995021,83.57709574728594,68.7018610725655,83.48245041221125,73.18990286507224,0,"Columbia, SC",1870
American Baptist College,11,23132,52.99796818260418,39.37251426595193,87.11378177416566,76.29794224450977,51.52204738025247,77.2282984610064,47.0419764827944,0,78.43882932733875,82.00505792841086,65.770058793014,26.861663496455126,0,73.14170845581877,61.1991181047899,90.86213902818606,85.71865813591562,72.10608680615597,87.18658135915615,62.21217361231195,0,86.31912502161508,89.04232232405326,78.34160470344112,43.21844198512883,0,"Nashville, TN",1924
Arkansas Baptist College,14,12310,71.64833468724615,39.59837530463038,72.68586515028433,87.09406986190089,55.99333874898456,83.1595450852965,75.57034930950446,0,91.2238017871649,75.04362307067424,76.98147847278635,92.25280259951259,0,82.24614134849716,57.66092607636068,83.07254264825345,87.75848903330626,72.204224207961,87.24995938261576,81.40658001624695,0,87.93354995938262,83.53582453290008,83.04248578391551,89.65678310316815,0,"Little Rock, AR",1884
Benedict College,15,18413,39.64899799055016,8,71.09107695649813,68.29180470319882,69.16558952913702,66.13577363819041,71.59045239776245,2.927279639385217,77.9487318742193,46.181393580622384,83.62488459240754,62.88242002932711,0,66.71981752023027,13.834410470862977,90.26030521913866,87.54119372182697,89.47623961331668,87.97876500298702,88.37647314397437,3.5127355672622604,90.90810840167273,74.83533373160267,92.52012165317981,86.60348666702873,0,"Columbia, SC",1870
Bennett College,20,30512,24.9128211851075,24.32302045097011,57.85353303618248,65.17753670686943,90.49793523859465,78.08209884635554,69.67439040377556,0,55.53693628736235,71.91570529627687,92.85517173571054,54.09379916098584,0,34.6663607760881,33.70844257996853,70.75498164656528,74.37414787624542,85.91577084425799,82.28555977975878,73.26478106974305,0,66.8928618248558,78.86644598846355,84.9079378605139,61.84586392239119,0,"Greensboro, NC",1873
Bethune-Cookman University,20,19104,44.5401486599665,28.820090033500836,55.7588986599665,76.22257118927973,6,49.726654103852596,61.245655360134,0,59.725031407035175,34.21487646566164,95.86882328308208,16.565012562814072,0,69.50225083752093,50.33846314907873,79.36992252931323,88.88960427135679,10.624738274706868,75.6390284757119,79.49183417085428,0,80.39981155778895,58.890127721943045,94.34877512562814,29.00947445561139,0,"Daytona Beach, FL",1904
Bishop State Community College,13,9228,87,20.748699609882966,82.91861725184222,57.806566970091026,76.4353055916775,71.37332032943216,70.69971824880797,0,80.05158214130905,73.80895101863892,68.97962722149978,85.37158647594278,90.80288253142609,91.07921543129605,31.4061551798873,88.99024707412224,74.23352839185088,85.89206762028608,84.19180754226268,79.02026441265713,0,85.90030342436064,85.18736454269614,76.13209796272216,89.81534460338102,93.39000866926744,"Mobile, AL",1927
Bluefield State College,10,10201,8,13.744044701499853,11.459366728752084,26.149397117929613,5.064993628075679,26.33849622586021,79.9852955592589,0,44.25477894324086,1.686109204979904,64.96863052641898,62.280854818155085,86.88884524744698,15.23233016370944,24.52690912655622,20.380550926379765,47.131359670620526,8.81148906969905,48.288599156945395,89.58719733359474,0,68.642976178806,3.899127536516028,82.05352416429761,83.0484266248407,98,"Bluefield, WV",1895
Bowie State University,13,21358,10.441380279052346,48.61658394980803,70.06039891375598,37.11045041670568,27.07491338140275,50.72605112838281,18.92031089053282,70.72890720104878,23.593313980709805,34.96900458844461,29.261354059368855,43.723944189530854,0,7.800449480288417,35.91689296750632,53.16991291319412,28.81238880044948,20.16218747073696,38.89928832287667,16.9394606236539,63.35293566813372,21.437166401348442,26.58352842026407,23.728064425508006,32.300824047195434,0,"Bowie, MD",1865
Central State University,2,3213,64,64,32.680672268907564,51.46218487394958,70.84033613445378,19.521008403361346,61.66386554621849,0,55.60504201680672,39.621848739495796,38.15966386554622,51,0,76.31932773109244,78.31932773109244,46.84033613445378,65.36134453781513,80.73949579831933,26.941176470588236,70.88235294117646,0,66.98319327731092,54.78151260504202,51.89915966386555,65.31932773109244,0,"Wilberforce, OH",1887
Charles R. Drew University of Medicine and Science,54,68887,95.1150725100527,94.14834439008811,96.60824248406811,89.02486681086417,67.84956523001438,95.9173574114129,89.39496566841349,0,93.33248653592115,96.22388839693991,0,64.21921407522464,0,94.13660051969167,94.33544790744263,93.75374163485128,90.9066587309652,83.90725390857492,93.46431111820807,91.20397172180527,0,91.57386734797566,93.53610986107684,0,81.70194666627955,0,"Los Angeles, CA",1966
Cheyney University of Pennsylvania,5,6176,60.847150259067355,48.40123056994819,50.15738341968912,29.889572538860104,74.87176165803109,52.07561528497409,36.87580958549223,0,62.879857512953365,49.96794041450777,0,67.58468264248705,0,31.66143134715026,24.539507772020727,26.44559585492228,15.458387305699482,38.7666774611399,27.545822538860104,21.258581606217618,0,36.61512305699482,26.4485103626943,0,34.87386658031088,0,"Cheyney, PA",1837
Claflin University,16,16649,34.419304462730494,2.5161270947204035,35.39624001441528,32.269265421346624,72.43161751456545,36.18643762388131,52.968226319899095,0,79.2077602258394,31.638356658057543,82.86419604781068,29.43510120727972,0,52.53138326626224,3.502432578533245,56.05549882875848,50.15958916451439,84.48801729833623,56.99675656195567,65.29659439005346,0,85.52231365247162,50.569343504114364,85.36128295993754,45.92912487236471,0,"Orangeburg, SC",1869
Clark Atlanta University,35,40104,82.70434370636346,39.22883004189109,91.56749950129662,90.6354229004588,44.25865250349092,96.15766507081588,43.884699780570514,78.11462696987832,87.71860662278077,69.80403451027328,89.21192399760622,74.71838220626371,0,79.85288250548574,50.24197087572312,83.92030720127669,81.86003889886295,54.97733393177738,85.0263315380012,48.083258527827645,81.47678535806902,79.98753241571913,74.34043985637344,81.19566626770397,75.51765409934171,0,"Atlanta, GA",1988
Clinton College,17,18631,31.807310396650742,16.877784337931406,54.5259513713703,41.70388062905909,86.07272824861789,45.104449573291824,57.7298588374215,70.36246041543664,64.05791422897322,58.64902581718641,87.6290054210724,74.24598786967957,0,50.12565079705867,27.284472116365198,76.49916805324459,62.89034405023885,91.09575438784822,68.2720197520262,70.54049702109387,86.84101765874081,80.31163115238044,78.62294026085556,89.53657882024582,87.17181042348774,0,"Rock Hill, SC",1894
Coahoma Community College,13,10172,59.88546991742037,23.871608336610304,24.931183641368463,38.94917420369642,50.04669681478568,24.52379079826976,59.58700353912702,0,0,0,71.41555249705073,25.899233189146678,15.396775462052693,87.05013763271727,45.6247542272906,48.26287848997247,62.883110499410144,75.00766810853322,47.686492331891465,78.42646480534802,0,0,0,86.3068226504129,48.56242626818718,17.837200157294536,"Clarksdale, MS",1949
