school,Latitude,Longitude,Location,year_founded
Alabama A&M University,34.7834,-86.5685,"Normal, AL",1875
Alabama State University,32.3643,-86.2957,"Montgomery, AL",1867
Albany State University,31.5794,-84.1557,"Albany, GA",1903
Alcorn State University,31.8747,-91.1392,"Lorman, MS",1871
Allen University,34.0126,-81.0235,"Columbia, SC",1870
American Baptist College,36.2024,-86.79,"Nashville, TN",1924
Arkansas Baptist College,34.7357,-92.2644,"Little Rock, AR",1884
Benedict College,34.0291,-81.0235,"Columbia, SC",1870
Bennett College,36.0726,-79.791,"Greensboro, NC",1873
Bethune-Cookman University,29.2108,-81.0228,"Daytona Beach, FL",1904
Bishop State Community College,30.6944,-88.0431,"Mobile, AL",1927
Bluefield State College,37.2678,-81.222,"Bluefield, WV",1895
Bowie State University,38.9569,-76.7422,"Bowie, MD",1865
Central State University,39.7122,-83.8825,"Wilberforce, OH",1887
Charles R. Drew University of Medicine and Science,33.9886,-118.3087,"Los Angeles, CA",1966
Cheyney University of Pennsylvania,39.9257,-75.5205,"Cheyney, PA",1837
Claflin University,33.4963,-80.8559,"Orangeburg, SC",1869
Clark Atlanta University,33.7489,-84.3881,"Atlanta, GA",1988
Clinton College,34.9249,-81.0251,"Rock Hill, SC",1894
Coahoma Community College,34.1975,-90.5709,"Clarksdale, MS",1949
Concordia College Alabama,32.4074,-87.021,"Selma, AL",1922
Coppin State University,39.3142,-76.6488,"Baltimore, MD",1900
Delaware State University,39.1897,-75.5346,"Dover, DE",1891
Denmark Technical College,33.3278,-81.1478,"Denmark, SC",1947
Dillard University,29.9974,-90.1037,"New Orleans, LA",1869
Edward Waters University,30.3437,-81.6837,"Jacksonville, FL",1866
Elizabeth City State University,36.2946,-76.251,"Elizabeth City, NC",1891
Fayetteville State University,35.0527,-78.8784,"Fayetteville, NC",1867
Fisk University,36.1667,-86.7833,"Nashville, TN",1866
Florida A&M University,30.4383,-84.2807,"Tallahassee, FL",1887
Florida Memorial University,25.942,-80.2456,"Miami Gardens, FL",1879
Fort Valley State University,32.5536,-83.8889,"Fort Valley, GA",1895
Gadsden State Community College,34.0143,-85.9708,"Gadsden, AL",1985
Grambling State University,32.527,-92.7149,"Grambling, LA",1901
H Councill Trenholm State Community College,32.3473,-86.267,"Montgomery, AL",1963
Hampton University,37.026,-76.3452,"Hampton, VA",1868
Harris-Stowe State University,38.6367,-90.2343,"St. Louis, MO",1857
Hinds Community College,32.2678,-90.4142,"Raymond, MS",1917
Howard University,38.9227,-77.0194,"Washington, D.C.",1867
J.F. Drake State Technical College,34.7718,-86.5733,"Huntsville, AL",1967
Jackson State University,32.2969,-90.2064,Jackson MS,1877
Jarvis Christian College,32.5892,-95.1798,"Hawkins, TX",1912
Johnson C. Smith University,35.2434,-80.8558,"Charlotte,NC",1867
Kentucky State University,38.2,-84.8565,"Frankfort, KY",1890
Lane College,35.6281,-88.8064,"Jackson, TN",1882
Langston University,35.9459,-97.2629,"Langston, OK",1897
Lawson State Community College,33.4506233,-86.8891388,"Birmingham, AL",1949
Lincoln University -Missouri,38.5638,-92.1695,"Jefferson City, MO",1866
Lincoln University -Pennsylvania,39.8087,-75.9271,"Lincoln University, PA",1854
Medgar Evers College,40.6657,-73.9555,"Brooklyn, NY",1970
Miles College,33.481,-86.9089,"Fairfield, AL",1898
Mississippi Valley State University,33.5127,-90.3417,"Itta Bena, MS",1950
Morehouse College,33.7473,-84.4155,"Atlanta, GA",1867
Morgan State University,39.3438,-76.5844,"Baltimore, MD",1867
Morris College,33.938,-80.347,"Sumter, SC",1908
Norfolk State University,36.8479,-76.2621,"Norfolk, VA",1935
North Carolina A&T State University,36.077,-79.7718,"Greensboro, NC",1891
North Carolina Central University,35.9739,-78.8989,"Durham, NC",1909
Oakwood University,34.7524,-86.6559,"Huntsville, AL",1896
Paul Quinn College,32.6788,-96.7545,"Dallas, TX",1872
Prairie View A&M University,30.0955,-95.9907,"Prairie View, TX",1876
Saint Augustine's University,35.7877,-78.6189,"Raleigh, NC",1867
Savannah State University,32.0242,-81.0626,"Savannah, GA",1890
Shaw University,35.771,-78.6379,"Raleigh, NC",1865
Shelton State Community College,33.1206,-87.5615,"Tuscaloosa, AL",1979
South Carolina State University,33.4982,-80.8493,"Orangeburg, SC",1896
Southern University and A&M College,30.5265,-91.1929,"Baton Rouge, LA",1880
Southern University at New Orleans,30.0259,-90.0449,"New Orleans, LA",1956
Southern University at Shreveport,32.5458,-93.8325,"Shreveport, LA",1967
Spelman College,33.7452,-84.4114,"Atlanta, GA",1881
St. Philips College,29.3812,-98.5502,"San Antonio, TX",1898
Stillman College,33.1983,-87.5859,"Tuscaloosa, AL",1976
Tennessee State University,36.1684,-86.8259,"Nashville, TN",1912
