school,group,Location,year_founded,Latitude,Longitude,n_block_groups,total_pop,PM2.5 [raw]_pct_usa,PM2.5 [EJindex]_pct_usa,Particulate Matter Summary Index_pct_usa,Ozone [raw]_pct_usa,Ozone [EJindex]_pct_usa,Ozone Summary Index_pct_usa,NO2 [raw]_pct_usa,NO2 [EJindex]_pct_usa,Nitrogen Dioxide (NO2) Summary Index_pct_usa,Diesel PM [raw]_pct_usa,Diesel PM [EJindex]_pct_usa,Diesel Particulate Matter Summary Index_pct_usa,Toxic Air [raw]_pct_usa,Toxic Air [EJindex]_pct_usa,Toxic Releases to Air Summary Index_pct_usa,Traffic [raw]_pct_usa,Traffic [EJindex]_pct_usa,Traffic Proximity and Volume Summary Index_pct_usa,Lead Paint [raw]_pct_usa,Lead Paint [EJindex]_pct_usa,Lead Paint Summary Index_pct_usa,Superfund [raw]_pct_usa,Superfund [EJindex]_pct_usa,Superfund Proximity Summary Index_pct_usa,RMP [raw]_pct_usa,RMP [EJindex]_pct_usa,RMP Proximity Summary Index_pct_usa,Hazardous Waste [raw]_pct_usa,Hazardous Waste [EJindex]_pct_usa,Hazardous Waste Proximity Summary Index_pct_usa,UST [raw]_pct_usa,UST [EJindex]_pct_usa,Underground Storage Tanks Summary Index_pct_usa,Wastewater [raw]_pct_usa,Wastewater [EJindex]_pct_usa,Wastewater Discharge Summary Index_pct_usa,Drinking Water [raw]_pct_usa,Drinking Water [EJindex]_pct_usa,Drinking Water Non-Compliance Summary Index_pct_usa,burden_score,state_abbr,region,treat,distance,weights,subclass
Alabama A&M University,HBCU,"Normal, AL",1875,34.7834,-86.5685,22,36048,37.9149,61.508,56.2604,17.654,40.6495,27.6343,43.8611,62.1516,58.4601,35.7457,59.2071,55.2398,99,87.0088,92.326,56.0411,71.2954,73.4179,35.8284,59.3905,50.5869,49.7517,68.2803,67.8314,0,0,0,65.0312,75.9437,79.5245,63.2488,74.2964,73.3063,47.2605,68.3845,65.8015,77.0469,90.4213,89.6747,60.77413846153847,AL,South,1,0.4575613515450239,1,1
Alabama State University,HBCU,"Montgomery, AL",1867,32.3643,-86.2957,54,45245,79.5643,84.2109,88.9344,3.8818,12.0004,5.9996,57.3961,73.6734,75.4397,62.8228,77.2995,80.8899,51.0872,74.3135,72.9867,73.9375,81.3903,86.415,73.268,80.4744,81.8465,55.2383,74.3611,74.7015,68.9456,79.8389,81.2193,34.6595,61.4452,57.4099,70.267,79.6693,81.0429,55.0604,75.5226,75.3342,0,0,0,66.32458461538462,AL,South,1,0.4444596623712913,1,2
Albany State University,HBCU,"Albany, GA",1903,31.5794,-84.1557,34,31753,81.675,93.0734,93.3175,21.8601,58.3023,40.6633,49.486,78.7072,74.1849,30.9772,65.137,55.0877,10.9039,34.883,20.5672,39.0216,72.8719,67.1351,56.6492,78.3341,72.2192,83.1624,94.2637,93.523,76.5161,90.7007,89.2628,36.8555,71.7813,64.5521,69.6253,88.9195,85.8767,32.7372,69.7833,57.4711,88,96.5598,95.532,69.95327692307693,GA,South,1,0.503762095513567,1,3
Alcorn State University,HBCU,"Lorman, MS",1871,31.8747,-91.1392,3,3066,37.1862,69.0091,44.8108,4.1628,13.4811,4.8066,1.3562,5.2619,1.3562,3.4811,12.0799,3.4811,2.9622,9.2048,3.4432,5.4997,18.2984,6.4618,15.9618,36.2319,20.787,0,0,0,0,0,0,0,0,0,31.7994,65.7851,40.7802,18.9357,47.0577,24.1099,96.5424,96.9928,90.212,18.480676923076924,MS,South,1,0.45100201470654644,1,4
Allen University,HBCU,"Columbia, SC",1870,34.0126,-81.0235,53,62940,40.7244,59.4823,50.3157,7.6496,18.8779,9.2494,65.7958,71.6206,69.9541,70.1813,74.222,73.977,73.1213,77.3071,75.0793,66.1112,72.3338,71.8354,71.1148,75.28,70.7953,38.8248,43.0355,40.9106,85.4259,80.1561,79.5996,54.1937,67.3699,63.6304,79.2714,77.0736,75.0922,63.3941,73.1017,69.1995,0,0,0,57.664500000000004,SC,South,1,0.4493647473924929,1,5
American Baptist College,HBCU,"Nashville, TN",1924,36.2024,-86.79,32,48860,52.9245,73.1247,72.4893,39.3336,65.7412,60.1295,76.7155,81.6073,85.3931,85.9541,85.5748,90.4358,52.8717,74.8042,72.4652,76.6883,82.3298,86.9369,50.6119,69.7251,64.4944,0,0,0,77.4447,82.897,85.4233,80.8726,84.2057,88.684,64.5726,78.5196,77.6339,27.0473,52.82,42.1406,0,0,0,63.555846153846154,TN,South,1,0.5384136964078773,1,6
Arkansas Baptist College,HBCU,"Little Rock, AR",1884,34.7357,-92.2644,28,23753,71.624,82.7345,84.7593,39.5683,67.2191,60.8145,76.0029,81.9792,84.2538,68.9784,80.3802,82.6507,57.9223,78.5691,76.2645,78.976,83.9672,87.5047,69.8027,78.7573,78.2065,0,0,0,89.7078,87.134,89.2339,74.574,82.9305,85.5026,69.2274,81.3449,80.7918,91.8819,89.0689,91.4375,0,0,0,69.33998461538461,AR,South,1,0.4723703336710692,1,7
Benedict College,HBCU,"Columbia, SC",1870,34.0291,-81.0235,48,56882,39.9378,65.1118,55.6295,7.9327,22.5727,11.0249,62.978,76.3593,74.4947,68.4452,79.7613,79.5727,70.1674,82.8155,80.4717,65.4342,78.4297,78.1736,67.4185,79.9511,75.4168,19.3026,22.0164,20.3126,80.4692,84.1088,83.5041,49.2538,70.4729,66.099,77.2921,78.6779,77.5661,64.0664,79.8747,76.7225,0,0,0,59.92216923076922,SC,South,1,0.4493647473924929,1,8
Bennett College,HBCU,"Greensboro, NC",1873,36.0726,-79.791,57,68266,25.1012,53.3092,36.0164,24.4436,54.008,35.1412,58.902,76.3237,70.4115,56.6878,76.0909,70.2544,89.8412,88.1704,84.9033,75.6579,83.677,80.7996,67.6493,80.887200000000007,72.052,0,0,0,56.6937,77.0169,68.6107,73.5237,83.1392,79.229,86.3121,84.9271,81.1243,48.1084,62.1368,54.1977,0,0,0,56.364623076923074,NC,South,1,0.45427969942870366,1,9
Bethune-Cookman University,HBCU,"Daytona Beach, FL",1904,29.2108,-81.0228,42,44178,44.5243,69.1983,68.0362,28.6981,57.282,48.6108,74.0412,82.1807,87.3429,54.0277,73.8148,77.1181,6,16.4153,10.2653,47.82,70.0058,72.6417,53.4129,73.1235,70.2095,0,0,0,62.3063,78.5863,80.7058,35.0816,61.1294,58.2724,91.5999,88.4324,92.5232,16.6484,39.3568,28.026,7.871,9.0548,9.3623,54.08570769230768,FL,South,1,0.5054156393324969,1,10
