school,n_block_groups,total_pop,Particulate Matter Summary Index_pct_usa,Ozone Summary Index_pct_usa,Diesel Particulate Matter Summary Index_pct_usa,Nitrogen Dioxide (NO2) Summary Index_pct_usa,Toxic Releases to Air Summary Index_pct_usa,Traffic Proximity and Volume Summary Index_pct_usa,Lead Paint Summary Index_pct_usa,Superfund Proximity Summary Index_pct_usa,RMP Proximity Summary Index_pct_usa,Hazardous Waste Proximity Summary Index_pct_usa,Underground Storage Tanks Summary Index_pct_usa,Wastewater Discharge Summary Index_pct_usa,Drinking Water Non-Compliance Summary Index_pct_usa,Particulate Matter Summary Index_pct_state,Ozone Summary Index_pct_state,Diesel Particulate Matter Summary Index_pct_state,Nitrogen Dioxide (NO2) Summary Index_pct_state,Toxic Releases to Air Summary Index_pct_state,Traffic Proximity and Volume Summary Index_pct_state,Lead Paint Summary Index_pct_state,Superfund Proximity Summary Index_pct_state,RMP Proximity Summary Index_pct_state,Hazardous Waste Proximity Summary Index_pct_state,Underground Storage Tanks Summary Index_pct_state,Wastewater Discharge Summary Index_pct_state,Drinking Water Non-Compliance Summary Index_pct_state,Location,year_founded
University of Alabama,15,24809,75,9.953766778185337,57.930065701962995,52.084687008746826,87.75710427667379,72.94723688983836,33.52501108468701,0,65.01451086299326,58.23044056592366,57.88238139384901,65.93405618928615,7.119392156072393,75.2495062275787,11.12741343867145,65.5511306380749,59.69785158611794,81.42706275948244,74.67479543713975,39.27473900600589,0,68.34040066105042,64.69958482808659,61.73166995848281,69.61973477367084,7.878793986053449,"Tuscaloosa, AL",1831
Auburn University,23,31884,70.8312633295697,5.218636306611467,31.799993727261324,33.862219294944175,16.78763643206624,59.210293564170115,26.4050934638063,0,26.500282273240497,31.637561159202107,62.02182913059842,30.736199974909045,85,69.38451888094342,5.224281771421403,36.6332016058211,39.78807552377368,19.06244511353657,62.68535942792623,25.44141262075022,0,31.77032367331577,37.006994103625644,57.38721615857484,34.2215531300966,84.7792936896249,"Auburn, AL",1856
Jacksonville State University,10,12229,52.67356284242375,7,22.08095510671355,18.978984381388504,70.09894513042767,29.946520565868017,32.12314988960667,0,0,15.59285305421539,48.734647150216695,37.46193474527762,0,66.94815602256931,9.057404530215063,32.7686646496034,28.885272712404937,80.1826805135334,44.284160601848065,38.73096737263881,0,0,23.452857960585494,58.79107040641099,51.87995747812577,0,"Jacksonville, AL",1883
Troy University,9,11445,57.09244211446046,5,16.372477064220185,19.509654871122763,94.4523372651813,25.537614678899082,36.91463521188292,0,75.14574049803407,51.27374399301005,68.55089558759283,90.71970292704238,0,66.77195281782437,6.0672782874617734,20.945740498034077,26.194408038444735,87.63206640454347,34.1301878549585,41.09759720401922,0,77.41188291830494,62.99912625600699,71.5999126256007,86.16312800349498,0,"Troy, AL",1887
University of South Alabama,14,10508,87,20.779311001141988,82.8067186905215,57.70831747240198,75.7732204035021,70.96240959269129,64.28026265702321,0,79.43623905595737,73.71041111534069,71.29653597259231,84.96088694328131,90.82689379520366,91.80043776170537,32.57480015226494,89.84411876665398,75.54501332318233,86.75789874381424,85.02112676056338,73.53625808907499,0,86.64331937571374,86.13903692424819,78.55224590787971,90.56870955462504,93.95156071564523,"Mobile, AL",1963
University of Montevallo,6,8441,75.90569837696955,21.769103186826204,23.705840540220354,17.010425305058643,64.18173202227224,20.2717687477787,38.40836393792205,0,17.677881767563086,27.049164790901553,53.07605733917782,53.514630967894796,90.7433953323066,83.24001895510011,30.319867314299255,34.46783556450657,24.83651226158038,76.76092879990523,28.984125103660702,50.66105911621846,0,25.859969197962325,40.074280298542824,66.52197606918611,63.27828456344035,91.64861983177349,"Montevallo, AL",1896
University of North Alabama,10,11098,21.229500810956928,19.750765903766446,31.816273202378806,46.04658497026491,48.94755811857993,52.990989367453594,66.51666967021085,0,88.89241304739593,40.62182375202739,61.242566228149215,68.2646422778879,0,35.74076410163993,33.26202919444945,53.3130293746621,67.4089926112813,70.9874752207605,74.45521715624437,79.9518832222022,0,89.85501892232834,63.41998558298793,77.309515227969,83.6882321138944,0,"Florence, AL",1830
University of Arkansas,22,32589,57.20598975114302,11.233698487219614,33.95182423517138,35.13722421676026,60.54229954892755,52.65405504924975,45.77096566326061,0,86.17085519653871,64.11295222314278,58.54981742305686,20.268771671422872,0,69.48918346681396,14.700665868851454,47.813986314400566,49.028138328883976,71.54030501089325,66.98659056736936,49.71588572831323,0,83.79520697167756,74.80748105188867,63.515879591273126,27.756666359814663,0,"Fayetteville, AR",1871
Arkansas State University,17,21742,53.279735074970105,34.49402078925582,47.43206696716034,52.08292705362892,25.352129518903503,41.42502989605372,29.507451016465826,0,25.26280930917119,45.34973783460583,58.55183515775918,77.47304755772238,0,78.97125379449912,60.095529390120504,73.09378162082605,73.86923926041763,44.65555146720633,68.1085456719713,44.764649066323244,0,38.104130254806364,72.25793395271825,78.7204489007451,91.52865421764326,0,"Jonesboro, AR",1909
University of Central Arkansas,10,14547,68.04887605691896,35.24603010930089,60.26747783048051,62.18711761875301,98.65766137347907,49.66316078916615,39.26321578332302,0,80.82759331820994,53.6376572489173,76.39747026878395,46.244655255379115,0,79.60741046263834,51.41733690795353,74.78132948374235,74.51639513301711,90.5860314841548,67.14497834605073,53.76572489173025,0,83.5062899566921,69.64686877019317,81.6287206984258,62.73499690657868,0,"Conway, AR",1907
University of Florida,14,27878,42,33.49103235526221,70.03515316737212,69.61091183011693,5,57.60341487911615,31.250053805868426,74.55129492790013,50.22275629528661,54.04426429442571,91.37204964488127,96.58422411937728,0,56.358060119090325,47.13272114211924,81.10847263074827,79.17178420259702,6.871511586197001,73.18017791807159,40.334600760456276,84.80468469761102,64.53874022526723,70.15087165506851,87.8883348877251,91.30970657866418,0,"Gainesville, FL",1853
Florida State University,25,33893,55.29044345440062,19.469329950137197,62.34420086743575,89.80057829050246,8.291122060602484,59.90086448529195,38.32756026318119,89.94650812852211,51.0988699731508,52.73873661227982,95.29560676245832,29.487357271412975,78,64.21417401823385,24.950786298055647,69.6426990824064,82.0481810403328,10.65101938453368,68.5345646593692,46.493582745699705,85.90596878411472,61.01905998288732,62.37311539255894,83.38594990115953,35.865016375062694,86.31325052370696,"Tallahassee, FL",1851
University of South Florida,12,20877,62.69669971739235,49.86463572352349,73.51262154524117,54.09757149015663,82.49590458399196,61.14834506873593,18.203860707956125,95.11630023470805,74.40657182545385,53.36058820711788,69.76442975523304,43.27480001915984,0,75.12631125161661,66.51017866551707,81.65627245293864,68.28461943765866,85.47861282751353,74.5221535661254,25.757532212482637,90.6578052402165,80.21621880538392,68.75154476217847,75.21655410260095,57.778703836758154,0,"Tampa, FL",1956
University of Central Florida,11,36013,56.409324410629495,41.89861994279843,63.35862049815344,44.82225862882848,77.09446588731846,45.53811123760864,0.7618082359148085,49.01457806903063,0,23.897592536028657,52.32241135145642,67.73429039513509,65.95962569072279,46.54735789853664,36.342515202843416,52.202649043400996,39.85752367200733,59.194568627995444,39.835337239330244,0.7699997223224947,53.5921195123983,0,23.386332713186906,38.94943492627662,53.852220031655236,69.15275039569045,"Orlando, FL",1963
Florida Atlantic University,14,17542,27.584996009577015,33.35383650666971,64.05535286740394,70.3577699236119,44.147645650438946,65.31153802303044,20.95393911754646,59.96733553756698,51.568521263253906,41.373674609508605,62.15864781666857,56.0893284688177,0,25.38707102952913,29.80498232812678,52.631968988712806,56.43432903887812,39.07889636301448,53.96266104207046,22.227055067837192,65.90747919279444,47.925550108311484,35.519838102838904,49.74769125527306,47.30321514080492,0,"Boca Raton, FL",1961
University of West Florida,8,19841,81,24.12196965878736,37.468121566453306,22.878635149438033,75.09762612771533,47.1933370293836,19.629958167431077,69.17625119701628,51.280681417267274,49.32573963005897,67.64492717100953,87.47941131999396,80.77984980595735,81.31283705458394,29.456126203316366,47.861246912958016,29.96890277707777,77.2566906909934,57.58016229020715,24.390252507434102,77.48389698099894,59.73640441510005,59.57124136888262,68.52205029988407,83.80852779597802,86.08069149740436,"Pensacola, FL",1963
University of Georgia,22,35903,64.71567835556917,22.422415954098543,69.46748182603125,41.59630114475114,80.14202155808707,44.367295212099265,50.351669776898866,0,66.14728574213854,66.05592847394368,72.17719967690722,33.60758153914715,0,71.00838370052642,28.2122663844247,75.08659443500544,51.72971617970643,79.83550121159792,55.593320892404535,53.64660334790965,0,70.70796312285881,72.81728546361029,73.60738656936746,41.87131994540846,0,"Athens, GA",1785
Georgia Institute of Technology,41,55733,83.73267184612348,40.017242926094056,91.96838497837906,91.52548759262915,44.61905872642779,95.87599806218937,25.005885202662697,82.93398883964618,85.03633394936573,72.50994922218435,86.47754472215743,37.07293703909713,0,70.48599572963953,40.092153661206105,75.2749717402616,73.76430481043548,44.48809502449177,76.58859203703372,23.332549835824377,76.03649543358513,70.24585075269589,65.31564782086018,70.65508765004576,38.14203434231066,0,"Atlanta, GA",1885
Georgia State University,32,34734,82.73844072090746,39.473109921114755,92.48255311798238,91.27877583923534,44.10925893936777,96.53604537340934,41.81280589623999,78.62143720849888,86.77396787009846,70.2325387228652,89.11133183624115,74.08619796165141,0,79.49087349571026,49.599700581562736,83.95698738987736,81.89839926297,54.055709103472104,84.99959693671906,45.87697932861173,81.25954396268786,79.3271146427132,74.01379052225485,80.88164334657684,74.74958254160188,0,"Atlanta, GA",1913
